state_code,State,District,City,Population (%)
12,Mizoram,Mamit,,7.87
12,Mizoram,Kolasib,,7.65
12,Mizoram,Serchhip,,5.92
12,Mizoram,Saiha,,5.16
13,Tripura,West Tripura,Agartala,24.97
13,Tripura,Sipahijala,,13.18
13,Tripura,Gomati,,11.89
13,Tripura,South Tripura,,11.81
13,Tripura,North Tripura,Dharmanagar,11.32
13,Tripura,Dhalai,,10.29
13,Tripura,Khowai,,8.91
13,Tripura,Unakoti,,7.55
14,Meghalaya,East Khasi Hills,Cherrapunjee,27.84
14,Meghalaya,West Garo Hills,,21.68
14,Meghalaya,Jaintia Hilla,,13.32
14,Meghalaya,West Khasi Hills,,12.92
14,Meghalaya,East Garo Hills,,10.72
14,Meghalaya,Ribhoi,,8.72
14,Meghalaya,South Garo Hills,,4.8
15,Assam,Nagaon,,9.05
15,Assam,Dhubri,,6.25
15,Assam,Sonitpur,Tezpur,6.17
15,Assam,Cachar,Silchar,5.57
15,Assam,Barpeta,,5.43
15,Assam,Kamrup,,4.86
15,Assam,Tinsukia,,4.26
15,Assam,Dibrugarh,Dibrugarh,4.25
15,Assam,Kamrup Metropolitan,Guwahati ,4.02
15,Assam,Karimganj,,3.94
15,Assam,Sivasagar,,3.69
15,Assam,Jorhat,Jorhat,3.5
15,Assam,Golaghat,,3.42
15,Assam,Lakhimpur,,3.34
15,Assam,Goalpara,,3.23
15,Assam,Morigaon,,3.07
15,Assam,Karbi Anglong,,3.06
15,Assam,Baksa,,3.04
15,Assam,Darrang,,2.98
15,Assam,Kokrajhar,,2.84
15,Assam,Udalguri,,2.67
15,Assam,Nalbari,,2.47
15,Assam,Bongaigaon,,2.37
15,Assam,Dhemaji,,2.2
15,Assam,Hailakandi,,2.11
15,Assam,Chirang,,1.55
15,Assam,Dima Hasao,,0.69
16,Arunachal Pradesh,Papum Pare,Itanagar,12.76
16,Arunachal Pradesh,Changlang,,10.71
16,Arunachal Pradesh,Lohit,,10.53
16,Arunachal Pradesh,West Siang,Siang,8.11
16,Arunachal Pradesh,Tirap,,8.09
16,Arunachal Pradesh,East Siang,Siang,7.17
16,Arunachal Pradesh,Khurung Kumey,,6.65
16,Arunachal Pradesh,West Kameng,,6.07
16,Arunachal Pradesh,Upper Subansiri,,6.03
16,Arunachal Pradesh,Lower Subansiri,,6
